Packet Number,Time(seconds),Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,socket_count,sql,stream
34,11,10,TCP,23.109.170.137,443,51232,0,0,0,0,1
37,12,0,TCP,23.109.170.137,443,51232,53,0,0,0,1
38,12,0,TCP,23.109.170.137,443,51232,1,0,0,0,1
251,64,59,TCP,157.90.91.72,443,49949,39,39,0,0,2
253,65,1,TCP,157.90.91.72,443,49949,0,33,0,0,2
255,65,0,TCP,157.90.91.72,443,49949,37,48,0,0,2
1032,123,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
1745,162,38,TCP,157.90.91.72,443,49949,0,697,0,0,2
1825,163,1,TCP,157.90.91.72,443,49949,39,48,0,0,2
1826,163,0,TCP,157.90.91.72,443,49949,2880,0,0,0,2
1827,163,0,TCP,157.90.91.72,443,49949,2880,0,0,0,2
1828,163,0,TCP,157.90.91.72,443,49949,719,48,0,0,2
1905,185,21,TCP,157.90.91.72,443,49949,0,33,0,0,2
1907,185,0,TCP,157.90.91.72,443,49949,37,48,0,0,2
2600,244,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
5202,302,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
5379,305,2,TCP,157.90.91.72,443,49949,0,33,0,0,2
5383,305,0,TCP,157.90.91.72,443,49949,37,48,0,0,2
11062,364,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
13780,422,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
13919,425,3,TCP,157.90.91.72,443,49949,0,33,0,0,2
13923,425,0,TCP,157.90.91.72,443,49949,37,48,0,0,2
15635,484,59,TCP,157.90.91.72,443,49949,39,39,0,0,2
15927,543,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
15935,545,2,TCP,157.90.91.72,443,49949,0,33,0,0,2
15939,545,0,TCP,157.90.91.72,443,49949,37,48,0,0,2
16212,603,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
16697,662,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
16701,665,3,TCP,157.90.91.72,443,49949,0,33,0,0,2
16705,665,0,TCP,157.90.91.72,443,49949,37,48,0,0,2
17116,724,58,TCP,157.90.91.72,443,49949,39,39,0,0,2
70,18,10,TCP,23.53.240.56,80,51212,0,0,0,0,3
141,28,10,TCP,23.53.240.56,80,51212,0,0,0,0,3
207,38,10,TCP,23.53.240.56,80,51212,0,0,0,0,3
223,43,4,TCP,23.53.240.56,80,51212,1,0,0,0,3
71,18,10,TCP,23.53.240.56,80,51218,0,0,0,0,4
140,28,10,TCP,23.53.240.56,80,51218,0,0,0,0,4
206,38,10,TCP,23.53.240.56,80,51218,0,0,0,0,4
221,43,4,TCP,23.53.240.56,80,51218,1,0,0,0,4
214,39,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
261,69,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
714,99,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
1049,129,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
1737,159,29,TCP,104.18.1.181,443,50884,35,0,0,0,5
1916,189,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
1943,219,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
2627,249,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
3241,279,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
5408,309,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
9185,339,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
11197,369,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
12411,399,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
13994,429,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
15060,459,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
15661,489,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
15749,519,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
15988,549,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
16097,579,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
16252,609,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
16384,639,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
16712,669,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
16849,699,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
17123,729,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
17363,759,30,TCP,104.18.1.181,443,50884,35,0,0,0,5
42,13,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
209,39,25,TCP,163.70.143.60,443,51007,70,0,0,0,6
210,39,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
258,66,27,TCP,163.70.143.60,443,51007,70,72,0,0,6
281,82,15,TCP,163.70.143.60,443,51007,70,0,0,0,6
282,82,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
291,87,5,TCP,163.70.143.60,443,51007,0,226,0,0,6
294,88,1,TCP,163.70.143.60,443,51007,74,0,0,0,6
770,110,21,TCP,163.70.143.60,443,51007,70,0,0,0,6
771,110,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
1051,130,19,TCP,163.70.143.60,443,51007,70,0,0,0,6
1052,130,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
1729,155,25,TCP,163.70.143.60,443,51007,70,0,0,0,6
1730,155,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
1879,179,23,TCP,163.70.143.60,443,51007,70,0,0,0,6
1880,179,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
1929,197,18,TCP,163.70.143.60,443,51007,70,0,0,0,6
1930,198,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
1957,222,24,TCP,163.70.143.60,443,51007,70,0,0,0,6
1958,222,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
1966,224,2,TCP,163.70.143.60,443,51007,0,96,0,0,6
1969,225,0,TCP,163.70.143.60,443,51007,90,0,0,0,6
1970,225,0,TCP,163.70.143.60,443,51007,90,0,0,0,6
1971,225,0,TCP,163.70.143.60,443,51007,0,73,0,0,6
1972,225,0,TCP,163.70.143.60,443,51007,0,73,0,0,6
2387,228,3,TCP,163.70.143.60,443,51007,74,0,0,0,6
2584,241,13,TCP,163.70.143.60,443,51007,0,70,0,0,6
2661,251,10,TCP,163.70.143.60,443,51007,70,72,0,0,6
3099,275,24,TCP,163.70.143.60,443,51007,70,0,0,0,6
3100,276,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
5174,298,22,TCP,163.70.143.60,443,51007,70,0,0,0,6
5178,299,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
6789,318,19,TCP,163.70.143.60,443,51007,70,0,0,0,6
6802,318,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
9296,341,23,TCP,163.70.143.60,443,51007,70,0,0,0,6
9297,342,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
9525,346,4,TCP,163.70.143.60,443,51007,0,1349,0,0,6
9529,346,0,TCP,163.70.143.60,443,51007,0,1392,0,0,6
9533,346,0,TCP,163.70.143.60,443,51007,0,121,0,0,6
9606,349,3,TCP,163.70.143.60,443,51007,86,0,0,0,6
10884,359,10,TCP,163.70.143.60,443,51007,30,0,0,0,6
10885,359,0,TCP,163.70.143.60,443,51007,1250,0,0,0,6
10977,360,0,TCP,163.70.143.60,443,51007,0,64,0,0,6
11743,386,26,TCP,163.70.143.60,443,51007,70,0,0,0,6
11744,386,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
12995,406,19,TCP,163.70.143.60,443,51007,70,0,0,0,6
13008,406,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
13974,428,22,TCP,163.70.143.60,443,51007,70,0,0,0,6
13975,428,0,TCP,163.70.143.60,443,51007,0,72,0,0,6
14922,456,27,TCP,163.70.143.60,443,51007,70,0,0,0,6
