Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count
34,10,TCP,23.109.170.137,443,51232,0,0,0,1,,
37,0,TCP,23.109.170.137,443,51232,53,0,0,1,,
38,0,TCP,23.109.170.137,443,51232,1,0,0,1,,
42,0,TCP,163.70.143.60,443,51007,0,72,0,6,,
51,0,TCP,34.120.214.181,443,51198,0,0,0,7,,
54,0,TCP,172.64.150.28,443,51197,0,0,0,8,,
58,0,TCP,35.186.224.39,443,51064,0,40,0,9,,
64,0,TCP,34.149.100.209,443,51185,1,0,0,10,,
70,10,TCP,23.53.240.56,80,51212,0,0,0,3,,
71,10,TCP,23.53.240.56,80,51218,0,0,0,4,,
76,0,TCP,104.21.73.105,443,51199,1,0,0,11,,
83,0,TCP,13.107.42.16,443,51233,512,0,0,13,,
84,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,
86,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,
88,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,
90,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,
92,0,TCP,13.107.42.16,443,51233,0,157,0,13,,
96,0,TCP,13.107.42.16,443,51233,245,0,0,13,,
97,0,TCP,13.107.42.16,443,51233,0,342,0,13,,
99,0,TCP,13.107.42.16,443,51233,0,69,0,13,,
103,0,TCP,13.107.42.16,443,51233,0,38,0,13,,
105,0,TCP,13.107.42.16,443,51233,231,0,0,13,,
107,0,TCP,13.107.42.16,443,51233,0,604,0,13,,
116,0,TCP,20.211.142.183,443,51234,214,1440,0,14,,
117,0,TCP,20.211.142.183,443,51234,0,1440,0,14,,
119,0,TCP,20.211.142.183,443,51234,0,878,0,14,,
121,0,TCP,20.211.142.183,443,51234,158,51,0,14,,
122,0,TCP,20.211.142.183,443,51234,0,69,0,14,,
127,0,TCP,20.211.142.183,443,51234,87,38,0,14,,
128,0,TCP,20.211.142.183,443,51234,1391,0,0,14,,
130,0,TCP,20.211.142.183,443,51234,0,417,0,14,,
133,0,TCP,20.211.142.183,443,51234,1253,407,0,14,,
135,0,TCP,20.211.142.183,443,51234,1,42,0,14,,
136,0,TCP,20.211.142.183,443,51234,0,0,0,14,,
140,10,TCP,23.53.240.56,80,51218,0,0,0,4,,
141,10,TCP,23.53.240.56,80,51212,0,0,0,3,,
147,0,TCP,142.250.193.132,443,51201,0,0,0,15,,
148,0,TCP,142.250.193.132,443,51201,1,0,0,15,,
149,0,TCP,142.250.193.132,443,51201,0,0,0,15,,
158,0,TCP,34.120.208.123,443,51181,0,0,0,17,,
160,0,TCP,34.120.208.123,443,51181,1,0,0,17,,
162,0,TCP,142.250.182.138,443,51203,0,0,0,16,,
164,0,TCP,142.250.182.138,443,51203,1,0,0,16,,
169,0,TCP,142.250.196.46,443,51213,1,0,0,18,,
178,0,TCP,104.18.1.181,443,51235,204,0,0,19,,
179,0,TCP,104.18.1.181,443,51235,0,1440,0,19,,
180,0,TCP,104.18.1.181,443,51235,0,1384,0,19,,
183,0,TCP,104.18.1.181,443,51235,93,69,0,19,,
185,0,TCP,104.18.1.181,443,51235,0,258,0,19,,
190,0,TCP,104.18.1.181,443,51235,87,38,0,19,,
191,0,TCP,104.18.1.181,443,51235,306,0,0,19,,
193,0,TCP,104.18.1.181,443,51235,0,318,0,19,,
194,0,TCP,104.18.1.181,443,51235,0,334,0,19,,
195,0,TCP,104.18.1.181,443,51235,0,38,0,19,,
198,0,TCP,104.18.1.181,443,51235,1,0,0,19,,
206,10,TCP,23.53.240.56,80,51218,0,0,0,4,,
207,10,TCP,23.53.240.56,80,51212,0,0,0,3,,
209,25,TCP,163.70.143.60,443,51007,70,0,0,6,,
210,0,TCP,163.70.143.60,443,51007,0,72,0,6,,
214,30,TCP,104.18.1.181,443,50884,35,0,0,5,,
221,4,TCP,23.53.240.56,80,51218,1,0,0,4,,
223,4,TCP,23.53.240.56,80,51212,1,0,0,3,,
227,29,TCP,35.186.224.39,443,51064,43,0,0,9,,
228,0,TCP,35.186.224.39,443,51064,0,40,0,9,,
238,0,TCP,23.109.170.137,443,51236,855,0,0,21,,
239,0,TCP,23.109.170.137,443,51236,0,176,0,21,,
242,0,TCP,23.109.170.137,443,51236,592,0,0,21,,
243,0,TCP,23.109.170.137,443,51236,0,1440,0,21,,
244,0,TCP,23.109.170.137,443,51236,0,229,0,21,,
