Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,window_size,sql,stream
11,0,TCP,192.168.136.131,80,53290,20,0,65152,0,1
15,0,TCP,192.168.136.131,80,53290,168,0,65024,0,1
2464,0,TCP,192.168.136.131,80,53290,10,0,65024,0,1
3175,15,TCP,192.168.136.131,80,53290,11,0,65024,0,1
3875,5,TCP,192.168.136.131,80,53290,0,482,65024,0,1
3876,0,TCP,192.168.136.131,80,53290,0,0,65024,0,1
4488,9,TCP,192.168.136.131,80,53290,0,0,0,0,1
9,0,TCP,192.168.136.132,53290,80,1,0,64256,0,1
10,0,TCP,192.168.136.132,53290,80,0,20,64256,0,1
13,0,TCP,192.168.136.132,53290,80,0,168,64256,0,1
2456,0,TCP,192.168.136.132,53290,80,0,10,64256,0,1
3170,15,TCP,192.168.136.132,53290,80,0,11,64256,0,1
3882,5,TCP,192.168.136.132,53290,80,482,0,64128,0,1
4227,0,TCP,192.168.136.132,53290,80,1,0,64128,0,1
4484,9,TCP,192.168.136.132,53290,80,0,10,64128,0,1
18,0,TCP,192.168.136.131,80,53296,21,0,65152,0,2
22,0,TCP,192.168.136.131,80,53296,168,0,65024,0,2
2465,0,TCP,192.168.136.131,80,53296,11,0,65024,0,2
3176,15,TCP,192.168.136.131,80,53296,11,0,65024,0,2
3901,5,TCP,192.168.136.131,80,53296,0,482,65024,0,2
3905,0,TCP,192.168.136.131,80,53296,0,0,65024,0,2
4489,9,TCP,192.168.136.131,80,53296,0,0,0,0,2
16,0,TCP,192.168.136.132,53296,80,1,0,64256,0,2
17,0,TCP,192.168.136.132,53296,80,0,21,64256,0,2
21,0,TCP,192.168.136.132,53296,80,0,168,64256,0,2
2457,0,TCP,192.168.136.132,53296,80,0,11,64256,0,2
3171,15,TCP,192.168.136.132,53296,80,0,11,64256,0,2
3908,5,TCP,192.168.136.132,53296,80,482,0,64128,0,2
4236,0,TCP,192.168.136.132,53296,80,1,0,64128,0,2
4485,9,TCP,192.168.136.132,53296,80,0,11,64128,0,2
25,0,TCP,192.168.136.131,80,53306,21,0,65152,0,3
29,0,TCP,192.168.136.131,80,53306,168,0,65024,0,3
2466,0,TCP,192.168.136.131,80,53306,11,0,65024,0,3
3177,15,TCP,192.168.136.131,80,53306,11,0,65024,0,3
3886,5,TCP,192.168.136.131,80,53306,0,482,65024,0,3
3890,0,TCP,192.168.136.131,80,53306,0,0,65024,0,3
4490,9,TCP,192.168.136.131,80,53306,0,0,0,0,3
