Packet Number,Time(seconds),Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,socket_count,sql,stream
34,30,0,TCP,47.246.131.112,443,60738,46,0,0,0,1
36,30,0,TCP,192.168.136.132,60738,443,0,31,0,0,1
37,30,0,TCP,192.168.136.132,60738,443,0,0,0,0,1
38,30,0,TCP,47.246.131.112,443,60738,77,0,0,0,1
39,30,0,TCP,47.246.131.112,443,60738,1,0,0,0,1
46,30,0,TCP,47.246.131.112,443,60738,0,0,0,0,1
47,30,0,TCP,192.168.136.132,60738,443,0,0,0,0,1
35,30,0,TCP,47.246.131.149,443,42360,46,0,0,0,2
40,30,0,TCP,192.168.136.132,42360,443,0,31,0,0,2
41,30,0,TCP,47.246.131.149,443,42360,77,0,0,0,2
42,30,0,TCP,192.168.136.132,42360,443,0,0,0,0,2
43,30,0,TCP,47.246.131.149,443,42360,78,0,0,0,2
44,30,0,TCP,47.246.131.149,443,42360,0,0,0,0,2
45,30,0,TCP,192.168.136.132,42360,443,0,0,0,0,2
51,31,0,TCP,34.120.115.102,443,43018,39,0,0,0,3
62,31,0,TCP,192.168.136.132,43018,443,0,24,0,0,3
63,31,0,TCP,34.120.115.102,443,43018,63,0,0,0,3
64,31,0,TCP,192.168.136.132,43018,443,0,0,0,0,3
65,31,0,TCP,34.120.115.102,443,43018,64,0,0,0,3
66,31,0,TCP,34.120.115.102,443,43018,0,0,0,0,3
67,31,0,TCP,192.168.136.132,43018,443,0,0,0,0,3
52,31,0,TCP,59.82.33.225,443,45166,46,0,0,0,4
58,31,0,TCP,192.168.136.132,45166,443,0,31,0,0,4
59,31,0,TCP,59.82.33.225,443,45166,77,0,0,0,4
60,31,0,TCP,192.168.136.132,45166,443,0,0,0,0,4
61,31,0,TCP,59.82.33.225,443,45166,78,0,0,0,4
70,31,0,TCP,59.82.33.225,443,45166,0,0,0,0,4
71,31,0,TCP,192.168.136.132,45166,443,0,0,0,0,4
53,31,0,TCP,47.246.110.45,443,37942,46,0,0,0,5
54,31,0,TCP,192.168.136.132,37942,443,0,31,0,0,5
55,31,0,TCP,192.168.136.132,37942,443,0,0,0,0,5
56,31,0,TCP,47.246.110.45,443,37942,77,0,0,0,5
57,31,0,TCP,47.246.110.45,443,37942,1,0,0,0,5
68,31,0,TCP,47.246.110.45,443,37942,0,0,0,0,5
69,31,0,TCP,192.168.136.132,37942,443,0,0,0,0,5
73,33,0,TCP,59.82.33.225,443,45192,46,0,0,0,6
74,33,0,TCP,192.168.136.132,45192,443,0,31,0,0,6
75,33,0,TCP,59.82.33.225,443,45192,78,0,0,0,6
76,33,0,TCP,59.82.33.225,443,45192,0,0,0,0,6
77,33,0,TCP,192.168.136.132,45192,443,0,0,0,0,6
80,61,1,TCP,192.168.136.132,39746,443,0,0,1,0,7
81,61,0,TCP,34.107.243.93,443,39746,1,0,1,0,7
269,666,605,TCP,192.168.136.132,39746,443,0,0,2,0,7
272,666,0,TCP,34.107.243.93,443,39746,1,0,2,0,7
442,1252,585,TCP,192.168.136.132,39746,443,0,30,2,0,7
443,1252,0,TCP,34.107.243.93,443,39746,31,0,2,0,7
444,1252,0,TCP,34.107.243.93,443,39746,0,0,2,0,7
414,1239,0,TCP,142.250.71.10,443,46764,1,0,2,0,8
415,1239,0,TCP,192.168.136.132,46764,443,0,0,3,0,8
416,1239,0,TCP,192.168.136.132,46764,443,0,672,3,0,8
417,1239,0,TCP,142.250.71.10,443,46764,672,0,3,0,8
418,1239,0,TCP,192.168.136.132,46764,443,0,6,3,0,8
419,1239,0,TCP,142.250.71.10,443,46764,678,0,3,0,8
420,1239,0,TCP,192.168.136.132,46764,443,0,759,3,0,8
421,1239,0,TCP,142.250.71.10,443,46764,1437,0,3,0,8
422,1239,0,TCP,142.250.71.10,443,46764,0,830,3,0,8
423,1239,0,TCP,192.168.136.132,46764,443,0,0,3,0,8
424,1239,0,TCP,192.168.136.132,46764,443,0,84,3,0,8
425,1239,0,TCP,142.250.71.10,443,46764,691,0,3,0,8
426,1239,0,TCP,192.168.136.132,46764,443,0,31,3,0,8
427,1239,0,TCP,142.250.71.10,443,46764,722,0,3,0,8
428,1240,0,TCP,142.250.71.10,443,46764,0,31,3,0,8
429,1240,0,TCP,142.250.71.10,443,46764,0,239,3,0,8
430,1240,0,TCP,142.250.71.10,443,46764,0,1289,3,0,8
431,1240,0,TCP,192.168.136.132,46764,443,0,0,3,0,8
432,1240,0,TCP,192.168.136.132,46764,443,1289,39,3,0,8
433,1240,0,TCP,142.250.71.10,443,46764,0,0,3,0,8
434,1240,0,TCP,192.168.136.132,46764,443,798,24,3,0,8
435,1240,0,TCP,142.250.71.10,443,46764,0,0,3,0,8
436,1240,0,TCP,192.168.136.132,46764,443,774,0,3,0,8
437,1240,0,TCP,142.250.71.10,443,46764,0,0,3,0,8
438,1240,0,TCP,142.250.71.10,443,46764,0,0,3,0,8
439,1240,0,TCP,192.168.136.132,46764,443,774,0,3,0,8
452,1257,0,TCP,34.107.243.93,443,60456,1,0,3,0,9
453,1257,0,TCP,192.168.136.132,60456,443,0,0,4,0,9
454,1257,0,TCP,192.168.136.132,60456,443,0,666,4,0,9
455,1257,0,TCP,34.107.243.93,443,60456,666,0,4,0,9
456,1257,0,TCP,34.107.243.93,443,60456,0,212,4,0,9
457,1257,0,TCP,192.168.136.132,60456,443,0,0,4,0,9
458,1257,0,TCP,192.168.136.132,60456,443,0,64,4,0,9
459,1257,0,TCP,34.107.243.93,443,60456,518,0,4,0,9
460,1257,0,TCP,192.168.136.132,60456,443,0,170,4,0,9
461,1257,0,TCP,34.107.243.93,443,60456,688,0,4,0,9
462,1257,0,TCP,34.107.243.93,443,60456,0,586,4,0,9
463,1257,0,TCP,192.168.136.132,60456,443,0,31,4,0,9
464,1257,0,TCP,34.107.243.93,443,60456,133,0,4,0,9
470,1257,0,TCP,34.107.243.93,443,60456,0,31,4,0,9
