Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
34,0,TCP,47.246.131.112,443,60738,46,0,0,1,1,0,0
35,0,TCP,47.246.131.149,443,42360,46,0,0,2,2,0,0
36,0,TCP,192.168.136.132,60738,443,0,31,0,1,3,0,0
37,0,TCP,192.168.136.132,60738,443,0,0,0,1,4,0,0
38,0,TCP,47.246.131.112,443,60738,77,0,0,1,5,0,0
39,0,TCP,47.246.131.112,443,60738,1,0,0,1,6,0,0
40,0,TCP,192.168.136.132,42360,443,0,31,0,2,7,0,0
41,0,TCP,47.246.131.149,443,42360,77,0,0,2,8,0,0
42,0,TCP,192.168.136.132,42360,443,0,0,0,2,9,0,0
43,0,TCP,47.246.131.149,443,42360,78,0,0,2,10,0,0
44,0,TCP,47.246.131.149,443,42360,0,0,0,2,11,0,0
45,0,TCP,192.168.136.132,42360,443,0,0,0,2,12,0,0
46,0,TCP,47.246.131.112,443,60738,0,0,0,1,13,0,0
47,0,TCP,192.168.136.132,60738,443,0,0,0,1,14,0,0
51,0,TCP,34.120.115.102,443,43018,39,0,0,3,15,0,0
52,0,TCP,59.82.33.225,443,45166,46,0,0,4,16,0,0
53,0,TCP,47.246.110.45,443,37942,46,0,0,5,17,0,0
54,0,TCP,192.168.136.132,37942,443,0,31,0,5,18,0,0
55,0,TCP,192.168.136.132,37942,443,0,0,0,5,19,0,0
56,0,TCP,47.246.110.45,443,37942,77,0,0,5,20,0,0
57,0,TCP,47.246.110.45,443,37942,1,0,0,5,21,0,0
58,0,TCP,192.168.136.132,45166,443,0,31,0,4,22,0,0
59,0,TCP,59.82.33.225,443,45166,77,0,0,4,23,0,0
60,0,TCP,192.168.136.132,45166,443,0,0,0,4,78,33,0
61,0,TCP,59.82.33.225,443,45166,78,0,0,4,79,60,1
62,0,TCP,192.168.136.132,43018,443,0,24,0,3,80,61,2
63,0,TCP,34.120.115.102,443,43018,63,0,0,3,82,61,2
64,0,TCP,192.168.136.132,43018,443,0,0,0,3,83,61,2
65,0,TCP,34.120.115.102,443,43018,64,0,0,3,84,61,2
66,0,TCP,34.120.115.102,443,43018,0,0,0,3,85,61,2
67,0,TCP,192.168.136.132,43018,443,0,0,0,3,86,61,2
68,0,TCP,47.246.110.45,443,37942,0,0,0,5,87,61,2
69,0,TCP,192.168.136.132,37942,443,0,0,0,5,88,61,2
70,0,TCP,59.82.33.225,443,45166,0,0,0,4,89,61,2
71,0,TCP,192.168.136.132,45166,443,0,0,0,4,90,61,2
73,0,TCP,59.82.33.225,443,45192,46,0,0,6,91,61,2
74,0,TCP,192.168.136.132,45192,443,0,31,0,6,92,61,2
75,0,TCP,59.82.33.225,443,45192,78,0,0,6,93,61,2
76,0,TCP,59.82.33.225,443,45192,0,0,0,6,94,61,2
77,0,TCP,192.168.136.132,45192,443,0,0,0,6,95,61,2
80,1,TCP,192.168.136.132,39746,443,0,0,0,7,96,61,2
81,0,TCP,34.107.243.93,443,39746,1,0,0,7,97,61,2
269,605,TCP,192.168.136.132,39746,443,0,0,0,7,98,61,2
272,0,TCP,34.107.243.93,443,39746,1,0,0,7,99,61,2
414,0,TCP,142.250.71.10,443,46764,1,0,0,8,100,61,2
415,0,TCP,192.168.136.132,46764,443,0,0,0,8,101,61,2
416,0,TCP,192.168.136.132,46764,443,0,672,0,8,102,61,2
417,0,TCP,142.250.71.10,443,46764,672,0,0,8,103,61,2
418,0,TCP,192.168.136.132,46764,443,0,6,0,8,104,61,2
419,0,TCP,142.250.71.10,443,46764,678,0,0,8,105,61,2
420,0,TCP,192.168.136.132,46764,443,0,759,0,8,106,61,2
421,0,TCP,142.250.71.10,443,46764,1437,0,0,8,107,61,2
422,0,TCP,142.250.71.10,443,46764,0,830,0,8,108,61,2
423,0,TCP,192.168.136.132,46764,443,0,0,0,8,109,61,2
424,0,TCP,192.168.136.132,46764,443,0,84,0,8,110,61,2
425,0,TCP,142.250.71.10,443,46764,691,0,0,8,111,61,2
426,0,TCP,192.168.136.132,46764,443,0,31,0,8,112,61,2
427,0,TCP,142.250.71.10,443,46764,722,0,0,8,113,61,2
428,0,TCP,142.250.71.10,443,46764,0,31,0,8,114,61,2
429,0,TCP,142.250.71.10,443,46764,0,239,0,8,115,61,2
430,0,TCP,142.250.71.10,443,46764,0,1289,0,8,116,61,2
431,0,TCP,192.168.136.132,46764,443,0,0,0,8,117,61,2
432,0,TCP,192.168.136.132,46764,443,1289,39,0,8,118,61,2
433,0,TCP,142.250.71.10,443,46764,0,0,0,8,119,61,2
434,0,TCP,192.168.136.132,46764,443,798,24,0,8,120,61,2
435,0,TCP,142.250.71.10,443,46764,0,0,0,8,121,61,2
436,0,TCP,192.168.136.132,46764,443,774,0,0,8,122,61,2
437,0,TCP,142.250.71.10,443,46764,0,0,0,8,123,61,2
438,0,TCP,142.250.71.10,443,46764,0,0,0,8,124,61,2
439,0,TCP,192.168.136.132,46764,443,774,0,0,8,125,61,2
442,585,TCP,192.168.136.132,39746,443,0,30,0,7,126,61,2
443,0,TCP,34.107.243.93,443,39746,31,0,0,7,127,61,2
444,0,TCP,34.107.243.93,443,39746,0,0,0,7,128,61,2
452,0,TCP,34.107.243.93,443,60456,1,0,0,9,129,61,2
453,0,TCP,192.168.136.132,60456,443,0,0,0,9,130,61,2
454,0,TCP,192.168.136.132,60456,443,0,666,0,9,131,61,2
455,0,TCP,34.107.243.93,443,60456,666,0,0,9,132,61,2
456,0,TCP,34.107.243.93,443,60456,0,212,0,9,133,61,2
457,0,TCP,192.168.136.132,60456,443,0,0,0,9,134,61,2
458,0,TCP,192.168.136.132,60456,443,0,64,0,9,135,61,2
459,0,TCP,34.107.243.93,443,60456,518,0,0,9,136,61,2
460,0,TCP,192.168.136.132,60456,443,0,170,0,9,137,61,2
461,0,TCP,34.107.243.93,443,60456,688,0,0,9,138,61,2
462,0,TCP,34.107.243.93,443,60456,0,586,0,9,139,61,2
463,0,TCP,192.168.136.132,60456,443,0,31,0,9,140,61,2
464,0,TCP,34.107.243.93,443,60456,133,0,0,9,141,61,2
470,0,TCP,34.107.243.93,443,60456,0,31,0,9,142,61,2
