Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
10,0,UDP,192.168.77.106,,,,1258,0,,,,N
11,0,UDP,192.168.77.106,,,,84,0,,,,N
12,0,UDP,162.159.135.232,,,,1208,0,,,,N
13,0,UDP,162.159.135.232,,,,60,0,,,,N
14,0,UDP,162.159.135.232,,,,32,0,,,,N
15,0,UDP,162.159.135.232,,,,32,0,,,,N
16,0,UDP,162.159.135.232,,,,57,0,,,,N
17,0,UDP,192.168.77.106,,,,98,0,,,,N
18,0,UDP,192.168.77.106,,,,53,0,,,,N
19,0,UDP,192.168.77.106,,,,53,0,,,,N
20,0,UDP,192.168.77.106,,,,55,0,,,,N
21,0,UDP,192.168.77.106,,,,1258,0,,,,N
22,0,UDP,192.168.77.106,,,,937,0,,,,N
23,0,UDP,162.159.135.232,,,,38,0,,,,N
24,0,UDP,192.168.77.106,,,,54,0,,,,N
25,0,UDP,162.159.135.232,,,,589,0,,,,N
26,0,UDP,192.168.77.106,,,,53,0,,,,N
34,10,TCP,23.109.170.137,443,51232,0,0,0,1,,,N
37,0,TCP,23.109.170.137,443,51232,53,0,0,1,,,N
38,0,TCP,23.109.170.137,443,51232,1,0,0,1,,,N
42,0,TCP,163.70.143.60,443,51007,0,72,0,6,,,N
51,0,TCP,34.120.214.181,443,51198,0,0,0,7,,,N
54,0,TCP,172.64.150.28,443,51197,0,0,0,8,,,N
58,0,TCP,35.186.224.39,443,51064,0,40,0,9,,,N
64,0,TCP,34.149.100.209,443,51185,1,0,0,10,,,N
66,,ARP,,,,,60,0,,,,N
67,,ARP,,,,,42,0,,,,N
70,10,TCP,23.53.240.56,80,51212,0,0,0,3,,,N
71,10,TCP,23.53.240.56,80,51218,0,0,0,4,,,N
76,0,TCP,104.21.73.105,443,51199,1,0,0,11,,,N
83,0,TCP,13.107.42.16,443,51233,512,0,0,13,,,N
84,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,,N
86,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,,N
88,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,,N
90,0,TCP,13.107.42.16,443,51233,0,1440,0,13,,,N
92,0,TCP,13.107.42.16,443,51233,0,157,0,13,,,N
96,0,TCP,13.107.42.16,443,51233,245,0,0,13,,,N
97,0,TCP,13.107.42.16,443,51233,0,342,0,13,,,N
99,0,TCP,13.107.42.16,443,51233,0,69,0,13,,,N
103,0,TCP,13.107.42.16,443,51233,0,38,0,13,,,N
105,0,TCP,13.107.42.16,443,51233,231,0,0,13,,,N
107,0,TCP,13.107.42.16,443,51233,0,604,0,13,,,N
110,0,UDP,192.168.77.106,,,,57,0,,,,N
110,,DNS,192.168.77.106,,,,57,0,,,,N
111,0,UDP,192.168.77.1,,,,194,0,,,,N
111,,DNS,192.168.77.1,,,,194,0,,,,N
116,0,TCP,20.211.142.183,443,51234,214,1440,0,14,,,N
117,0,TCP,20.211.142.183,443,51234,0,1440,0,14,,,N
119,0,TCP,20.211.142.183,443,51234,0,878,0,14,,,N
121,0,TCP,20.211.142.183,443,51234,158,51,0,14,,,N
122,0,TCP,20.211.142.183,443,51234,0,69,0,14,,,N
127,0,TCP,20.211.142.183,443,51234,87,38,0,14,,,N
128,0,TCP,20.211.142.183,443,51234,1391,0,0,14,,,N
130,0,TCP,20.211.142.183,443,51234,0,417,0,14,,,N
133,0,TCP,20.211.142.183,443,51234,1253,407,0,14,,,N
135,0,TCP,20.211.142.183,443,51234,1,42,0,14,,,N
136,0,TCP,20.211.142.183,443,51234,0,0,0,14,,,N
140,10,TCP,23.53.240.56,80,51218,0,0,0,4,,,N
141,10,TCP,23.53.240.56,80,51212,0,0,0,3,,,N
147,0,TCP,142.250.193.132,443,51201,0,0,0,15,,,N
148,0,TCP,142.250.193.132,443,51201,1,0,0,15,,,N
149,0,TCP,142.250.193.132,443,51201,0,0,0,15,,,N
158,0,TCP,34.120.208.123,443,51181,0,0,0,17,,,N
160,0,TCP,34.120.208.123,443,51181,1,0,0,17,,,N
162,0,TCP,142.250.182.138,443,51203,0,0,0,16,,,N
164,0,TCP,142.250.182.138,443,51203,1,0,0,16,,,N
169,0,TCP,142.250.196.46,443,51213,1,0,0,18,,,N
172,8,UDP,192.168.77.106,,,,47,0,,,,N
172,,DNS,192.168.77.106,,,,47,0,,,,N
173,0,UDP,192.168.77.1,,,,79,0,,,,N
173,,DNS,192.168.77.1,,,,79,0,,,,N
178,0,TCP,104.18.1.181,443,51235,204,0,0,19,,,N
179,0,TCP,104.18.1.181,443,51235,0,1440,0,19,,,N
180,0,TCP,104.18.1.181,443,51235,0,1384,0,19,,,N
183,0,TCP,104.18.1.181,443,51235,93,69,0,19,,,N
185,0,TCP,104.18.1.181,443,51235,0,258,0,19,,,N
190,0,TCP,104.18.1.181,443,51235,87,38,0,19,,,N
191,0,TCP,104.18.1.181,443,51235,306,0,0,19,,,N
193,0,TCP,104.18.1.181,443,51235,0,318,0,19,,,N
194,0,TCP,104.18.1.181,443,51235,0,334,0,19,,,N
