Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
34,10,TCP,23.109.170.137,443,51232,0,0,0,1,10,4,0
37,0,TCP,23.109.170.137,443,51232,53,0,0,1,11,4,0
38,0,TCP,23.109.170.137,443,51232,1,0,0,1,12,4,0
42,0,TCP,163.70.143.60,443,51007,0,72,0,6,13,4,0
51,0,TCP,34.120.214.181,443,51198,0,0,0,7,14,4,0
54,0,TCP,172.64.150.28,443,51197,0,0,0,8,15,4,0
58,0,TCP,35.186.224.39,443,51064,0,40,0,9,16,4,0
64,0,TCP,34.149.100.209,443,51185,1,0,0,10,17,4,0
70,10,TCP,23.53.240.56,80,51212,0,0,0,3,18,4,0
71,10,TCP,23.53.240.56,80,51218,0,0,0,4,19,4,0
76,0,TCP,104.21.73.105,443,51199,1,0,0,11,20,4,0
83,0,TCP,13.107.42.16,443,51233,512,0,0,13,21,4,0
84,0,TCP,13.107.42.16,443,51233,0,1440,0,13,22,4,0
86,0,TCP,13.107.42.16,443,51233,0,1440,0,13,23,4,0
88,0,TCP,13.107.42.16,443,51233,0,1440,0,13,24,4,0
90,0,TCP,13.107.42.16,443,51233,0,1440,0,13,25,4,0
92,0,TCP,13.107.42.16,443,51233,0,157,0,13,26,4,0
96,0,TCP,13.107.42.16,443,51233,245,0,0,13,66,16,0
97,0,TCP,13.107.42.16,443,51233,0,342,0,13,67,16,0
99,0,TCP,13.107.42.16,443,51233,0,69,0,13,110,26,0
103,0,TCP,13.107.42.16,443,51233,0,38,0,13,111,26,0
105,0,TCP,13.107.42.16,443,51233,231,0,0,13,172,34,0
107,0,TCP,13.107.42.16,443,51233,0,604,0,13,173,34,0
116,0,TCP,20.211.142.183,443,51234,214,1440,0,14,217,39,0
117,0,TCP,20.211.142.183,443,51234,0,1440,0,14,218,39,0
119,0,TCP,20.211.142.183,443,51234,0,878,0,14,230,45,0
121,0,TCP,20.211.142.183,443,51234,158,51,0,14,231,45,0
122,0,TCP,20.211.142.183,443,51234,0,69,0,14,232,45,0
127,0,TCP,20.211.142.183,443,51234,87,38,0,14,234,52,0
128,0,TCP,20.211.142.183,443,51234,1391,0,0,14,274,75,0
130,0,TCP,20.211.142.183,443,51234,0,417,0,14,275,75,0
133,0,TCP,20.211.142.183,443,51234,1253,407,0,14,284,82,0
135,0,TCP,20.211.142.183,443,51234,1,42,0,14,285,82,0
136,0,TCP,20.211.142.183,443,51234,0,0,0,14,286,82,0
140,10,TCP,23.53.240.56,80,51218,0,0,0,4,287,82,0
141,10,TCP,23.53.240.56,80,51212,0,0,0,3,288,82,0
147,0,TCP,142.250.193.132,443,51201,0,0,0,15,289,82,0
148,0,TCP,142.250.193.132,443,51201,1,0,0,15,290,82,0
149,0,TCP,142.250.193.132,443,51201,0,0,0,15,298,94,0
158,0,TCP,34.120.208.123,443,51181,0,0,0,17,301,94,0
160,0,TCP,34.120.208.123,443,51181,1,0,0,17,304,94,0
162,0,TCP,142.250.182.138,443,51203,0,0,0,16,305,94,0
164,0,TCP,142.250.182.138,443,51203,1,0,0,16,311,94,0
169,0,TCP,142.250.196.46,443,51213,1,0,0,18,324,94,0
178,0,TCP,104.18.1.181,443,51235,204,0,0,19,464,95,0
179,0,TCP,104.18.1.181,443,51235,0,1440,0,19,467,95,0
180,0,TCP,104.18.1.181,443,51235,0,1384,0,19,590,96,0
183,0,TCP,104.18.1.181,443,51235,93,69,0,19,591,96,0
185,0,TCP,104.18.1.181,443,51235,0,258,0,19,592,96,0
190,0,TCP,104.18.1.181,443,51235,87,38,0,19,594,98,0
191,0,TCP,104.18.1.181,443,51235,306,0,0,19,631,98,0
193,0,TCP,104.18.1.181,443,51235,0,318,0,19,632,98,0
194,0,TCP,104.18.1.181,443,51235,0,334,0,19,633,98,0
195,0,TCP,104.18.1.181,443,51235,0,38,0,19,657,98,0
198,0,TCP,104.18.1.181,443,51235,1,0,0,19,674,98,0
206,10,TCP,23.53.240.56,80,51218,0,0,0,4,675,98,0
207,10,TCP,23.53.240.56,80,51212,0,0,0,3,729,99,0
209,25,TCP,163.70.143.60,443,51007,70,0,0,6,730,99,0
210,0,TCP,163.70.143.60,443,51007,0,72,0,6,757,101,1
214,30,TCP,104.18.1.181,443,50884,35,0,0,5,758,103,2
221,4,TCP,23.53.240.56,80,51218,1,0,0,4,759,103,2
223,4,TCP,23.53.240.56,80,51212,1,0,0,3,760,103,2
