Packet Number,Time(seconds),socket_count
1,0,0
2,0,0
9,5,1
16,5,2
23,5,3
30,5,4
37,5,5
44,5,6
50,5,7
58,5,8
65,5,9
72,5,10
79,5,11
86,5,12
93,5,13
100,5,14
107,5,15
114,5,16
120,5,17
127,5,18
135,5,19
141,5,20
149,5,21
156,5,22
163,5,23
170,5,24
176,5,25
184,5,26
191,5,27
198,5,28
205,5,29
212,5,30
219,5,31
226,5,32
232,5,33
240,5,34
246,5,35
254,5,36
261,5,37
268,5,38
275,5,39
281,5,40
289,5,41
296,5,42
303,5,43
310,5,44
317,5,45
323,5,46
331,5,47
338,5,48
345,5,49
352,5,50
359,5,51
366,5,52
373,5,53
380,5,54
387,5,55
393,5,56
401,5,57
408,5,58
414,5,59
422,5,60
429,5,61
436,5,62
443,5,63
450,5,64
456,5,65
464,5,66
471,5,67
478,5,68
485,5,69
492,5,70
499,5,71
506,5,72
513,5,73
520,5,74
527,5,75
534,5,76
541,5,77
548,5,78
555,5,79
562,5,80
568,5,81
576,5,82
583,5,83
589,5,84
596,5,85
604,5,86
611,5,87
618,5,88
625,5,89
632,5,90
639,5,91
646,5,92
653,5,93
660,5,94
667,5,95
674,5,96
681,5,97
687,5,98
695,5,99
702,5,100
709,5,101
716,5,102
723,5,103
729,5,104
736,5,105
744,5,106
751,5,107
757,5,108
765,5,109
772,5,110
778,5,111
786,5,112
793,5,113
800,5,114
806,5,115
814,5,116
821,5,117
827,5,118
835,5,119
841,5,120
848,5,121
855,5,122
863,5,123
870,5,124
877,5,125
883,5,126
891,5,127
898,5,128
904,5,129
912,5,130
919,5,131
925,5,132
933,5,133
939,5,134
946,5,135
954,5,136
961,5,137
967,5,138
975,5,139
982,5,140
988,5,141
995,5,142
1003,5,143
1009,5,144
1016,5,145
1023,5,146
1030,5,147
1037,5,148
1044,5,149
1051,5,150
1058,5,151
1065,5,152
1072,5,153
1079,5,154
1086,5,155
1093,5,156
1100,5,157
1107,5,158
1114,5,159
1121,5,160
1128,5,161
1135,5,162
1142,5,163
1149,5,164
1156,5,165
1163,5,166
1170,5,167
1177,5,168
1184,5,169
1191,5,170
1198,5,171
1205,5,172
1212,5,173
1219,5,174
1226,5,175
1233,5,176
1240,5,177
1247,5,178
1254,5,179
1261,5,180
1268,5,181
1275,5,182
1282,5,183
1289,5,184
1296,5,185
1303,5,186
1310,5,187
1317,5,188
1324,5,189
1331,5,190
1338,5,191
1345,5,192
1352,5,193
1359,5,194
1366,5,195
1373,5,196
1380,5,197
1387,5,198
1394,5,199
1401,5,200
1408,5,201
1415,5,202
1422,5,203
1429,5,204
1436,5,205
1443,5,206
1450,5,207
1457,5,208
1464,5,209
1471,5,210
1478,5,211
1485,5,212
1492,5,213
1499,5,214
1506,5,215
1513,5,216
1520,5,217
1527,5,218
1534,5,219
1541,5,220
1548,5,221
1555,5,222
1562,5,223
1569,5,224
1576,5,225
1583,5,226
1590,5,227
1597,5,228
1604,5,229
