Packet Number,Time(seconds),socket_count
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
23,4,0
24,4,0
25,4,0
26,4,0
66,16,0
67,16,0
110,26,0
111,26,0
172,34,0
173,34,0
217,39,0
218,39,0
230,45,0
231,45,0
232,45,0
234,52,0
274,75,0
275,75,0
284,82,0
285,82,0
286,82,0
287,82,0
288,82,0
289,82,0
290,82,0
298,94,0
301,94,0
304,94,0
305,94,0
311,94,0
324,94,0
464,95,0
467,95,0
590,96,0
591,96,0
592,96,0
594,98,0
631,98,0
632,98,0
633,98,0
657,98,0
674,98,0
675,98,0
729,99,0
730,99,0
757,101,1
758,103,2
759,103,2
760,103,2
765,105,2
766,105,2
767,105,2
768,105,2
816,111,2
817,111,2
818,111,2
819,111,2
820,111,2
821,111,2
822,111,2
823,111,2
824,111,2
825,111,2
826,111,2
827,111,2
828,111,2
829,111,2
830,111,2
831,111,2
832,111,2
833,111,2
834,111,2
835,111,2
836,111,2
837,111,2
838,111,2
839,111,2
841,113,2
859,114,2
860,114,2
861,114,2
862,114,2
863,114,2
864,114,2
865,114,2
866,114,2
867,114,2
868,114,2
869,114,2
870,114,2
871,114,2
872,114,2
873,114,2
874,114,2
875,114,2
876,114,2
877,114,2
878,114,2
879,114,2
880,114,2
939,118,2
955,118,2
956,118,2
957,118,2
958,118,2
959,118,2
960,118,2
961,118,2
962,118,2
963,118,2
964,118,2
965,118,2
968,120,3
972,120,3
973,120,3
982,120,3
988,121,4
990,121,5
1003,121,6
1015,121,7
1028,121,7
1029,121,7
1030,121,7
1035,124,7
1036,124,7
1038,124,7
1043,125,7
1044,125,7
1045,125,7
1046,125,7
1054,130,7
1055,130,7
1069,139,8
1091,140,9
1100,140,10
1101,140,11
1125,140,12
1156,140,13
1331,140,13
1404,140,13
1405,140,13
1406,140,13
1407,140,13
1408,140,13
1409,140,13
1410,140,13
1411,140,13
1412,140,13
1413,140,13
1414,140,13
1415,140,13
1416,140,13
1417,140,13
1418,140,13
1419,140,13
1420,140,13
1421,140,13
1422,140,13
1423,140,13
1424,140,13
1425,140,13
1426,140,13
1427,140,13
1428,140,13
1429,140,13
1430,140,13
1431,140,13
1432,140,13
1433,140,13
1434,140,13
1435,140,13
1436,140,13
1437,140,13
1438,140,13
1439,140,13
1440,140,13
1441,140,13
1442,140,13
1443,140,13
1444,140,13
1445,140,13
1446,140,13
1447,140,13
1448,140,13
1449,140,13
1450,140,13
1451,140,13
1452,140,13
1453,140,13
1454,140,13
1455,140,13
1456,140,13
1457,140,13
1458,140,13
1459,140,13
1460,140,13
1461,140,13
1462,140,13
1463,140,13
1464,140,13
1465,140,13
1473,141,14
1476,141,15
1490,141,16
1501,141,17
1511,141,18
1521,141,19
1531,141,20
1541,141,21
1579,141,21
1580,141,21
1581,141,21
1582,141,21
1583,141,21
1584,141,21
1585,141,21
1586,141,21
1587,141,21
1588,141,21
1589,141,21
1590,141,21
1591,141,21
1592,141,21
1593,141,21
1594,141,21
1595,141,21
1596,141,21
1597,141,21
1598,141,21
1599,141,21
1600,141,21
1601,141,21
1602,141,21
1603,141,21
1604,141,21
1605,141,21
1606,141,21
1607,141,21
1608,141,21
1609,141,21
1610,141,21
1611,141,21
1612,141,21
1613,141,21
1614,141,21
1615,141,21
1616,141,21
1617,141,21
1618,141,21
1619,141,21
1620,141,21
1621,141,21
1622,141,21
1623,141,21
1624,141,21
1625,141,21
1626,141,21
1627,141,21
1628,141,21
1629,141,21
1630,141,21
1631,141,21
1632,141,21
1633,141,21
1634,141,21
1635,141,21
1636,141,21
1637,141,21
1638,141,21
1639,141,21
1640,141,21
1641,141,21
1642,141,21
1643,141,21
1644,141,21
1645,141,21
1646,141,21
1647,141,21
1650,142,21
1651,142,21
1652,142,21
1653,142,21
1654,142,21
1655,142,21
1656,142,21
1657,142,21
1658,142,21
1659,142,21
1660,142,21
1661,142,21
1662,142,21
1663,142,21
1664,142,21
1665,142,21
1666,142,21
1667,142,21
1668,142,21
1669,142,21
1670,142,21
1671,142,21
1672,142,21
1673,142,21
1674,142,21
1675,142,21
1676,142,21
1677,142,21
1678,142,21
1679,142,21
1680,142,21
1681,142,21
1682,142,21
1683,142,21
1684,142,21
1685,142,21
1686,142,21
1687,142,21
1688,142,21
1689,142,21
1690,142,21
1708,145,21
1709,145,21
1726,153,22
1739,159,22
1740,159,22
1746,162,22
1748,162,22
1750,162,22
1765,162,22
1772,162,22
1775,162,22
1776,162,22
1777,162,22
1779,163,22
1780,163,22
1781,163,22
1782,163,22
1783,163,22
1784,163,22
1785,163,22
1786,163,22
1787,163,22
1788,163,22
1801,163,22
1802,163,22
1803,163,22
1804,163,22
1834,165,22
1835,165,22
1838,170,23
1855,173,23
1856,173,23
1858,175,23
1859,175,23
1884,181,24
1896,181,24
1897,181,24
1898,181,24
1899,181,24
1900,181,24
1901,181,24
1902,181,24
1903,181,24
1904,181,24
1932,198,24
1933,198,24
2215,226,24
2216,226,24
2414,229,24
2415,229,24
2515,230,24
2516,230,24
2517,230,24
2518,230,24
2519,230,24
2520,230,24
2521,230,24
2522,230,24
2523,230,24
2524,230,24
2525,230,24
2526,230,24
2527,230,24
2528,230,24
2529,230,24
