Layer,src_ip,,dst_port,sql
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
TCP,23.109.170.137,,51232,0
TCP,23.109.170.137,,51232,0
TCP,23.109.170.137,,51232,0
TCP,163.70.143.60,,51007,0
TCP,34.120.214.181,,51198,0
TCP,172.64.150.28,,51197,0
TCP,35.186.224.39,,51064,0
TCP,34.149.100.209,,51185,0
ARP,,,,0
ARP,,,,0
TCP,23.53.240.56,,51212,0
TCP,23.53.240.56,,51218,0
TCP,104.21.73.105,,51199,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
TCP,13.107.42.16,,51233,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,20.211.142.183,,51234,0
TCP,23.53.240.56,,51218,0
TCP,23.53.240.56,,51212,0
TCP,142.250.193.132,,51201,0
TCP,142.250.193.132,,51201,0
TCP,142.250.193.132,,51201,0
TCP,34.120.208.123,,51181,0
TCP,34.120.208.123,,51181,0
TCP,142.250.182.138,,51203,0
TCP,142.250.182.138,,51203,0
TCP,142.250.196.46,,51213,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,104.18.1.181,,51235,0
TCP,23.53.240.56,,51218,0
TCP,23.53.240.56,,51212,0
TCP,163.70.143.60,,51007,0
TCP,163.70.143.60,,51007,0
TCP,104.18.1.181,,50884,0
ARP,,,,0
ARP,,,,0
TCP,23.53.240.56,,51218,0
TCP,23.53.240.56,,51212,0
TCP,35.186.224.39,,51064,0
TCP,35.186.224.39,,51064,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,157.90.91.72,,49949,0
TCP,157.90.91.72,,49949,0
TCP,157.90.91.72,,49949,0
TCP,163.70.143.60,,51007,0
TCP,104.18.1.181,,50884,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,23.109.170.137,,51236,0
TCP,35.186.224.39,,51064,0
TCP,35.186.224.39,,51064,0
ARP,,,,0
ARP,,,,0
TCP,163.70.143.60,,51007,0
TCP,163.70.143.60,,51007,0
UDP,192.168.77.104,,,0
UDP,,,,0
UDP,192.168.77.104,,,0
UDP,192.168.77.104,,,0
UDP,,,,0
UDP,192.168.77.104,,,0
UDP,,,,0
TCP,163.70.143.60,,51007,0
TCP,163.70.143.60,,51007,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,23.215.215.147,,51225,0
UDP,1.1.1.1,,,0
DNS,1.1.1.1,,,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,52.98.88.242,,51239,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51238,0
TCP,23.215.215.147,,51238,0
TCP,52.98.88.242,,51239,0
TCP,52.98.88.242,,51239,0
TCP,52.98.88.242,,51239,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51237,0
TCP,23.215.215.147,,51238,0
TCP,23.215.215.147,,51238,0
TCP,23.215.215.147,,51238,0
TCP,23.215.215.147,,51238,0
TCP,23.215.215.147,,51238,0
