Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
0,TCP,47.246.131.112,443,60738,46,0,0,1,,,A
0,TCP,47.246.131.149,443,42360,46,0,0,2,,,A
0,TCP,47.246.131.112,443,60738,77,0,0,1,,,A
0,TCP,47.246.131.112,443,60738,1,0,0,1,,,A
0,TCP,192.168.136.132,42360,443,0,31,0,2,,,A
0,TCP,47.246.131.149,443,42360,77,0,0,2,,,A
0,TCP,192.168.136.132,42360,443,0,0,0,2,,,A
0,TCP,47.246.131.149,443,42360,78,0,0,2,,,A
0,TCP,47.246.131.149,443,42360,0,0,0,2,,,A
0,TCP,192.168.136.132,42360,443,0,0,0,2,,,A
0,TCP,47.246.131.112,443,60738,0,0,0,1,,,A
0,TCP,34.120.115.102,443,43018,39,0,0,3,,,A
0,TCP,34.120.115.102,443,43018,63,0,0,3,,,A
0,TCP,34.120.115.102,443,43018,64,0,0,3,,,A
0,TCP,34.120.115.102,443,43018,0,0,0,3,,,A
0,UDP,192.168.136.1,,,,209,0,,,,A
0,UDP,192.168.136.1,,,,316,0,,,,A
718,UDP,192.168.136.1,,,,209,0,,,,A
900,UDP,192.168.136.1,,,,316,0,,,,A
0,TCP,34.107.243.93,443,60456,1,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,666,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,0,212,0,9,,,A
0,TCP,34.107.243.93,443,60456,518,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,688,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,0,586,0,9,,,A
0,TCP,34.107.243.93,443,60456,133,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,0,31,0,9,,,A
0,TCP,34.107.243.93,443,60464,1,0,0,10,,,A
0,TCP,34.107.243.93,443,60464,657,0,0,10,,,A
0,TCP,34.107.243.93,443,60464,0,218,0,10,,,A
0,TCP,34.107.243.93,443,60464,503,0,0,10,,,A
0,TCP,34.107.243.93,443,60464,1123,0,0,10,,,A
0,TCP,34.107.243.93,443,60464,0,798,0,10,,,A
0,TCP,34.107.243.93,443,60464,464,0,0,10,,,A
0,TCP,34.107.243.93,443,60464,0,192,0,10,,,A
0,TCP,34.149.100.209,443,55728,1,0,0,11,,,A
0,TCP,192.168.136.132,55728,443,0,0,0,11,1258,7,A
0,TCP,192.168.136.132,55728,443,0,218,0,11,,,A
0,TCP,34.149.100.209,443,55728,218,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,236,0,11,,,A
0,TCP,192.168.136.132,55728,443,1194,0,0,11,,,A
0,TCP,192.168.136.132,55728,443,1412,0,0,11,,,A
0,TCP,192.168.136.132,55728,443,1412,0,0,11,,,A
0,TCP,192.168.136.132,55728,443,236,0,0,11,,,A
0,TCP,192.168.136.132,55728,443,0,93,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,364,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,38,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,331,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,192.168.136.132,55728,443,1412,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1199,0,11,,,A
0,TCP,192.168.136.132,55728,443,0,46,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,127,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,1412,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,166,0,11,,,A
0,TCP,192.168.136.132,55728,443,0,46,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.107.243.93,443,60456,141,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,0,39,0,9,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,46,0,11,,,A
0,TCP,34.107.243.93,443,60456,141,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,0,39,0,9,,,A
58,TCP,192.168.136.132,55728,443,0,46,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,46,0,11,,,A
0,TCP,34.107.243.93,443,60456,141,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,165,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,166,0,0,9,,,A
0,TCP,34.107.243.93,443,60456,0,0,0,9,,,A
53,TCP,192.168.136.132,55728,443,0,46,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
0,TCP,34.149.100.209,443,55728,0,0,0,11,,,A
721,UDP,192.168.136.1,,,,209,0,,,,A
0,TCP,34.107.243.93,443,60464,272,0,0,10,,,A
0,TCP,192.168.136.131,55064,443,1,0,0,15,1946,11,A
0,TCP,192.168.136.131,55064,443,0,517,0,15,,,A
0,TCP,34.117.237.239,443,55064,517,0,0,15,,,A
0,TCP,192.168.136.131,55064,443,279,0,0,15,,,A
0,TCP,34.160.144.191,443,60018,216,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1412,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1412,0,16,,,A
0,TCP,192.168.136.131,60018,443,1412,0,0,16,,,A
0,TCP,192.168.136.131,60018,443,1412,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1578,0,16,,,A
0,TCP,192.168.136.131,60018,443,1578,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,93,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,364,0,16,,,A
0,TCP,192.168.136.131,55064,443,0,64,0,15,,,A
0,TCP,192.168.136.131,55064,443,0,170,0,15,,,A
0,TCP,192.168.136.131,55064,443,0,234,0,15,,,A
0,TCP,192.168.136.131,55064,443,0,31,0,15,,,A
0,TCP,34.160.144.191,443,60018,177,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,296,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,38,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,38,0,16,,,A
0,TCP,192.168.136.131,55064,443,31,0,0,15,,,A
0,TCP,34.160.144.191,443,60018,0,345,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1412,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1412,0,16,,,A
0,TCP,192.168.136.131,60018,443,1412,0,0,16,,,A
0,TCP,192.168.136.131,60018,443,1412,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1412,0,16,,,A
0,TCP,192.168.136.131,60018,443,1412,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,1241,0,16,,,A
0,TCP,192.168.136.131,60018,443,1241,0,0,16,,,A
0,TCP,34.160.144.191,443,60018,0,46,0,16,,,A
0,TCP,34.160.144.191,443,60018,46,0,0,16,,,A
0,TCP,192.168.136.131,55064,443,287,0,0,15,,,A
0,TCP,192.168.136.131,55064,443,0,39,0,15,,,A
0,TCP,192.168.136.131,52934,443,1,0,0,22,1948,18,A
0,TCP,192.168.136.131,52934,443,0,517,0,22,,,A
0,TCP,142.250.71.10,443,52934,517,0,0,22,,,A
0,TCP,142.250.71.10,443,52934,0,1412,0,22,,,A
0,TCP,142.250.71.10,443,52934,0,1412,0,22,,,A
0,TCP,142.250.71.10,443,52934,0,1412,0,22,,,A
0,TCP,142.250.71.10,443,52934,0,447,0,22,,,A
0,TCP,192.168.136.131,42370,80,1,0,0,23,1948,20,A
0,TCP,192.168.136.131,42370,80,0,418,0,23,,,A
0,TCP,142.250.196.163,80,42370,418,0,0,23,,,A
0,TCP,142.250.196.163,80,42370,0,701,0,23,,,A
0,TCP,192.168.136.131,42370,80,701,0,0,23,,,A
0,TCP,192.168.136.131,52934,443,0,64,0,22,,,A
0,TCP,142.250.71.10,443,52934,64,0,0,22,,,A
0,TCP,192.168.136.131,52934,443,0,170,0,22,,,A
0,TCP,192.168.136.131,52934,443,0,611,0,22,,,A
0,TCP,142.250.71.10,443,52934,170,0,0,22,,,A
0,TCP,142.250.71.10,443,52934,611,0,0,22,,,A
0,TCP,142.250.71.10,443,52934,0,614,0,22,,,A
