Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,42,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0,TCP,192.168.136.132,60738,443,0,31,0,1,,,N
0,TCP,192.168.136.132,60738,443,0,0,0,1,,,N
0,TCP,192.168.136.132,60738,443,0,0,0,1,,,N
0,TCP,59.82.33.225,443,45166,46,0,0,4,,,N
0,TCP,47.246.110.45,443,37942,46,0,0,5,,,N
0,TCP,192.168.136.132,37942,443,0,31,0,5,,,N
0,TCP,192.168.136.132,37942,443,0,0,0,5,,,N
0,TCP,47.246.110.45,443,37942,77,0,0,5,,,N
0,TCP,47.246.110.45,443,37942,1,0,0,5,,,N
0,TCP,192.168.136.132,45166,443,0,31,0,4,,,N
0,TCP,59.82.33.225,443,45166,77,0,0,4,,,N
0,TCP,192.168.136.132,45166,443,0,0,0,4,,,N
0,TCP,59.82.33.225,443,45166,78,0,0,4,,,N
0,TCP,192.168.136.132,43018,443,0,24,0,3,,,N
0,TCP,192.168.136.132,43018,443,0,0,0,3,,,N
0,TCP,192.168.136.132,43018,443,0,0,0,3,,,N
0,TCP,47.246.110.45,443,37942,0,0,0,5,,,N
0,TCP,192.168.136.132,37942,443,0,0,0,5,,,N
0,TCP,59.82.33.225,443,45166,0,0,0,4,,,N
0,TCP,192.168.136.132,45166,443,0,0,0,4,,,N
0,TCP,59.82.33.225,443,45192,46,0,0,6,,,N
0,TCP,192.168.136.132,45192,443,0,31,0,6,,,N
0,TCP,59.82.33.225,443,45192,78,0,0,6,,,N
0,TCP,59.82.33.225,443,45192,0,0,0,6,,,N
0,TCP,192.168.136.132,45192,443,0,0,0,6,,,N
1,TCP,192.168.136.132,39746,443,0,0,0,7,61,2,N
0,TCP,34.107.243.93,443,39746,1,0,0,7,,,N
0,UDP,192.168.136.1,,,,51,0,,,,N
0,UDP,,,,,51,0,,,,N
1,UDP,192.168.136.1,,,,51,0,,,,N
1,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,42,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,42,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
188,UDP,192.168.136.1,,,,105,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
9,UDP,192.168.136.1,,,,49,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,DHCP,192.168.136.1,,,,316,0,,,,N
0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
,ARP,,,,,60,0,,,,N
14,UDP,192.168.136.1,,,,43,0,,,,N
212,UDP,,,,,43,0,,,,N
0,UDP,,,,,81,0,,,,N
0,UDP,192.168.136.1,,,,81,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0,UDP,192.168.136.132,,,,290,0,,,,N
,DHCP,192.168.136.132,,,,290,0,,,,N
0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
87,UDP,192.168.136.1,,,,51,0,,,,N
87,UDP,,,,,51,0,,,,N
1,UDP,192.168.136.1,,,,51,0,,,,N
1,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
605,TCP,192.168.136.132,39746,443,0,0,0,7,666,3,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0,TCP,34.107.243.93,443,39746,1,0,0,7,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
301,UDP,192.168.136.1,,,,51,0,,,,N
301,UDP,,,,,51,0,,,,N
1,UDP,192.168.136.1,,,,51,0,,,,N
1,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,42,0,,,,N
,ARP,,,,,60,0,,,,N
0,UDP,192.168.136.131,,,,290,0,,,,N
,DHCP,192.168.136.131,,,,290,0,,,,N
0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
301,UDP,192.168.136.1,,,,51,0,,,,N
301,UDP,,,,,51,0,,,,N
1,UDP,192.168.136.1,,,,51,0,,,,N
1,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,DHCP,192.168.136.1,,,,316,0,,,,N
0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
,ARP,,,,,60,0,,,,N
206,UDP,192.168.136.1,,,,43,0,,,,N
206,UDP,,,,,43,0,,,,N
0,UDP,,,,,81,0,,,,N
0,UDP,192.168.136.1,,,,81,0,,,,N
0,UDP,192.168.136.1,,,,43,0,,,,N
0,UDP,,,,,43,0,,,,N
0,UDP,,,,,81,0,,,,N
0,UDP,192.168.136.1,,,,81,0,,,,N
0,UDP,,,,,37,0,,,,N
0,UDP,192.168.136.1,,,,37,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
899,UDP,192.168.136.132,,,,290,0,,,,N
,DHCP,192.168.136.132,,,,290,0,,,,N
0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
0,UDP,192.168.136.132,,,,53,0,,,,N
,DNS,192.168.136.132,,,,53,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0,UDP,192.168.136.2,,,,69,0,,,,N
,DNS,192.168.136.2,,,,69,0,,,,N
0,TCP,142.250.71.10,443,46764,1,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,0,0,8,1239,4,N
0,TCP,192.168.136.132,46764,443,0,672,0,8,,,N
0,TCP,142.250.71.10,443,46764,672,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,6,0,8,,,N
0,TCP,142.250.71.10,443,46764,678,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,759,0,8,,,N
0,TCP,142.250.71.10,443,46764,1437,0,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,830,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,84,0,8,,,N
0,TCP,142.250.71.10,443,46764,691,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,31,0,8,,,N
0,TCP,142.250.71.10,443,46764,722,0,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,31,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,239,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,1289,0,8,,,N
0,TCP,192.168.136.132,46764,443,0,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,1289,39,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,798,24,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,774,0,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,0,0,8,,,N
0,TCP,142.250.71.10,443,46764,0,0,0,8,,,N
0,TCP,192.168.136.132,46764,443,774,0,0,8,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
585,TCP,192.168.136.132,39746,443,0,30,0,7,,,N
0,TCP,34.107.243.93,443,39746,31,0,0,7,,,N
0,TCP,34.107.243.93,443,39746,0,0,0,7,,,N
0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0,UDP,192.168.136.2,,,,171,0,,,,N
,DNS,192.168.136.2,,,,171,0,,,,N
0,UDP,192.168.136.2,,,,105,0,,,,N
,DNS,192.168.136.2,,,,105,0,,,,N
0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0,UDP,192.168.136.2,,,,105,0,,,,N
,DNS,192.168.136.2,,,,105,0,,,,N
0,TCP,192.168.136.132,60456,443,0,0,0,9,1257,5,N
0,TCP,192.168.136.132,60456,443,0,666,0,9,,,N
0,TCP,192.168.136.132,60456,443,0,0,0,9,,,N
0,TCP,192.168.136.132,60456,443,0,64,0,9,,,N
0,TCP,192.168.136.132,60456,443,0,170,0,9,,,N
0,TCP,192.168.136.132,60456,443,0,31,0,9,,,N
0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0,UDP,192.168.136.2,,,,171,0,,,,N
,DNS,192.168.136.2,,,,171,0,,,,N
0,UDP,192.168.136.2,,,,105,0,,,,N
,DNS,192.168.136.2,,,,105,0,,,,N
0,TCP,192.168.136.132,60456,443,0,0,0,9,,,N
0,TCP,192.168.136.132,60464,443,0,0,0,10,1257,6,N
0,TCP,192.168.136.132,60464,443,0,657,0,10,,,N
0,TCP,192.168.136.132,60464,443,0,0,0,10,,,N
0,TCP,192.168.136.132,60464,443,0,64,0,10,,,N
0,TCP,192.168.136.132,60464,443,0,620,0,10,,,N
0,TCP,192.168.136.132,60464,443,0,139,0,10,,,N
0,UDP,192.168.136.132,,,,63,0,,,,N
,DNS,192.168.136.132,,,,63,0,,,,N
0,UDP,192.168.136.132,,,,63,0,,,,N
,DNS,192.168.136.132,,,,63,0,,,,N
0,TCP,192.168.136.132,60464,443,0,0,0,10,,,N
0,UDP,192.168.136.2,,,,141,0,,,,N
,DNS,192.168.136.2,,,,141,0,,,,N
0,UDP,192.168.136.2,,,,215,0,,,,N
,DNS,192.168.136.2,,,,215,0,,,,N
0,TCP,192.168.136.132,55728,443,4525,177,0,11,,,N
0,TCP,192.168.136.132,55728,443,4348,243,0,11,,,N
0,TCP,192.168.136.132,55728,443,4105,38,0,11,,,N
0,TCP,192.168.136.132,55728,443,4105,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,4436,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,5848,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,8672,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,10084,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,11496,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,12908,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,15732,0,0,11,,,N
0,TCP,192.168.136.132,55728,443,18556,0,0,11,,,N
