Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,42,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0.0,TCP,192.168.136.132,60738.0,443.0,0.0,31,0,1.0,,,N
0.0,TCP,192.168.136.132,60738.0,443.0,0.0,0,0,1.0,,,N
0.0,TCP,192.168.136.132,60738.0,443.0,0.0,0,0,1.0,,,N
0.0,TCP,59.82.33.225,443.0,45166.0,46.0,0,0,4.0,,,N
0.0,TCP,47.246.110.45,443.0,37942.0,46.0,0,0,5.0,,,N
0.0,TCP,192.168.136.132,37942.0,443.0,0.0,31,0,5.0,,,N
0.0,TCP,192.168.136.132,37942.0,443.0,0.0,0,0,5.0,,,N
0.0,TCP,47.246.110.45,443.0,37942.0,77.0,0,0,5.0,,,N
0.0,TCP,47.246.110.45,443.0,37942.0,1.0,0,0,5.0,,,N
0.0,TCP,192.168.136.132,45166.0,443.0,0.0,31,0,4.0,,,N
0.0,TCP,59.82.33.225,443.0,45166.0,77.0,0,0,4.0,,,N
0.0,TCP,192.168.136.132,45166.0,443.0,0.0,0,0,4.0,,,N
0.0,TCP,59.82.33.225,443.0,45166.0,78.0,0,0,4.0,,,N
0.0,TCP,192.168.136.132,43018.0,443.0,0.0,24,0,3.0,,,N
0.0,TCP,192.168.136.132,43018.0,443.0,0.0,0,0,3.0,,,N
0.0,TCP,192.168.136.132,43018.0,443.0,0.0,0,0,3.0,,,N
0.0,TCP,47.246.110.45,443.0,37942.0,0.0,0,0,5.0,,,N
0.0,TCP,192.168.136.132,37942.0,443.0,0.0,0,0,5.0,,,N
0.0,TCP,59.82.33.225,443.0,45166.0,0.0,0,0,4.0,,,N
0.0,TCP,192.168.136.132,45166.0,443.0,0.0,0,0,4.0,,,N
0.0,TCP,59.82.33.225,443.0,45192.0,46.0,0,0,6.0,,,N
0.0,TCP,192.168.136.132,45192.0,443.0,0.0,31,0,6.0,,,N
0.0,TCP,59.82.33.225,443.0,45192.0,78.0,0,0,6.0,,,N
0.0,TCP,59.82.33.225,443.0,45192.0,0.0,0,0,6.0,,,N
0.0,TCP,192.168.136.132,45192.0,443.0,0.0,0,0,6.0,,,N
1.0,TCP,192.168.136.132,39746.0,443.0,0.0,0,0,7.0,61.0,2.0,N
0.0,TCP,34.107.243.93,443.0,39746.0,1.0,0,0,7.0,,,N
0.0,UDP,192.168.136.1,,,,51,0,,,,N
0.0,UDP,,,,,51,0,,,,N
1.0,UDP,192.168.136.1,,,,51,0,,,,N
1.0,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,42,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ARP,,,,,42,0,,,,N
,ARP,,,,,60,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
188.0,UDP,192.168.136.1,,,,105,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
,ICMP,192.168.136.1,,,,74,0,,,,N
,ICMP,192.168.136.131,,,,74,0,,,,N
9.0,UDP,192.168.136.1,,,,49,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,DHCP,192.168.136.1,,,,316,0,,,,N
0.0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
,ARP,,,,,60,0,,,,N
14.0,UDP,192.168.136.1,,,,43,0,,,,N
212.0,UDP,,,,,43,0,,,,N
0.0,UDP,,,,,81,0,,,,N
0.0,UDP,192.168.136.1,,,,81,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0.0,UDP,192.168.136.132,,,,290,0,,,,N
,DHCP,192.168.136.132,,,,290,0,,,,N
0.0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
87.0,UDP,192.168.136.1,,,,51,0,,,,N
87.0,UDP,,,,,51,0,,,,N
1.0,UDP,192.168.136.1,,,,51,0,,,,N
1.0,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
605.0,TCP,192.168.136.132,39746.0,443.0,0.0,0,0,7.0,666.0,3.0,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0.0,TCP,34.107.243.93,443.0,39746.0,1.0,0,0,7.0,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
301.0,UDP,192.168.136.1,,,,51,0,,,,N
301.0,UDP,,,,,51,0,,,,N
1.0,UDP,192.168.136.1,,,,51,0,,,,N
1.0,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,42,0,,,,N
,ARP,,,,,60,0,,,,N
0.0,UDP,192.168.136.131,,,,290,0,,,,N
,DHCP,192.168.136.131,,,,290,0,,,,N
0.0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
301.0,UDP,192.168.136.1,,,,51,0,,,,N
301.0,UDP,,,,,51,0,,,,N
1.0,UDP,192.168.136.1,,,,51,0,,,,N
1.0,UDP,,,,,51,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,DHCP,192.168.136.1,,,,316,0,,,,N
0.0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
,ARP,,,,,60,0,,,,N
206.0,UDP,192.168.136.1,,,,43,0,,,,N
206.0,UDP,,,,,43,0,,,,N
0.0,UDP,,,,,81,0,,,,N
0.0,UDP,192.168.136.1,,,,81,0,,,,N
0.0,UDP,192.168.136.1,,,,43,0,,,,N
0.0,UDP,,,,,43,0,,,,N
0.0,UDP,,,,,81,0,,,,N
0.0,UDP,192.168.136.1,,,,81,0,,,,N
0.0,UDP,,,,,37,0,,,,N
0.0,UDP,192.168.136.1,,,,37,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
899.0,UDP,192.168.136.132,,,,290,0,,,,N
,DHCP,192.168.136.132,,,,290,0,,,,N
0.0,UDP,192.168.136.254,,,,308,0,,,,N
,DHCP,192.168.136.254,,,,308,0,,,,N
0.0,UDP,192.168.136.132,,,,53,0,,,,N
,DNS,192.168.136.132,,,,53,0,,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
0.0,UDP,192.168.136.2,,,,69,0,,,,N
,DNS,192.168.136.2,,,,69,0,,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,1.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,0,0,8.0,1239.0,4.0,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,672,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,672.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,6,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,678.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,759,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,1437.0,0,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,830,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,84,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,691.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,31,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,722.0,0,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,31,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,239,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,1289,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,0.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,1289.0,39,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,798.0,24,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,774.0,0,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,0,0,8.0,,,N
0.0,TCP,142.250.71.10,443.0,46764.0,0.0,0,0,8.0,,,N
0.0,TCP,192.168.136.132,46764.0,443.0,774.0,0,0,8.0,,,N
,ARP,,,,,60,0,,,,N
,ARP,,,,,60,0,,,,N
585.0,TCP,192.168.136.132,39746.0,443.0,0.0,30,0,7.0,,,N
0.0,TCP,34.107.243.93,443.0,39746.0,31.0,0,0,7.0,,,N
0.0,TCP,34.107.243.93,443.0,39746.0,0.0,0,0,7.0,,,N
0.0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0.0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0.0,UDP,192.168.136.2,,,,171,0,,,,N
,DNS,192.168.136.2,,,,171,0,,,,N
0.0,UDP,192.168.136.2,,,,105,0,,,,N
,DNS,192.168.136.2,,,,105,0,,,,N
0.0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0.0,UDP,192.168.136.2,,,,105,0,,,,N
,DNS,192.168.136.2,,,,105,0,,,,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,0,0,9.0,1257.0,5.0,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,666,0,9.0,,,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,0,0,9.0,,,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,64,0,9.0,,,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,170,0,9.0,,,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,31,0,9.0,,,N
0.0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0.0,UDP,192.168.136.132,,,,51,0,,,,N
,DNS,192.168.136.132,,,,51,0,,,,N
0.0,UDP,192.168.136.2,,,,171,0,,,,N
,DNS,192.168.136.2,,,,171,0,,,,N
0.0,UDP,192.168.136.2,,,,105,0,,,,N
,DNS,192.168.136.2,,,,105,0,,,,N
0.0,TCP,192.168.136.132,60456.0,443.0,0.0,0,0,9.0,,,N
0.0,TCP,192.168.136.132,60464.0,443.0,0.0,0,0,10.0,1257.0,6.0,N
